,classe,a1_0,a1_1,a1_2,a2_0,a2_1,a2_2,a3_0,a3_1,a4_0,a4_1,a4_2,a5_0,a5_1,a5_2,a5_3,a6_0,a6_1
78,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1
79,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0
80,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1
81,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
82,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0
83,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0
84,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
85,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0
86,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0
87,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
88,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0
89,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0
90,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0
91,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1
92,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1
93,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1
94,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0
95,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1
96,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1
97,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0
98,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1
99,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0
100,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
101,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1
102,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1
103,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1
104,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1
105,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0
106,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1
107,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0
108,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1
109,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0
110,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1
111,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0
112,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0
113,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1
114,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0
115,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0
116,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1
117,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1
118,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1
119,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0
120,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1
121,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1
