,classe,a1_0,a1_1,a1_2,a2_0,a2_1,a2_2,a3_0,a3_1,a4_0,a4_1,a4_2,a5_0,a5_1,a5_2,a5_3,a6_0,a6_1
44,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1
45,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1
46,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0
47,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1
48,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0
49,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
50,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0
51,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
52,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0
53,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1
54,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
55,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
56,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0
57,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
58,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
59,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
60,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
61,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1
62,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
63,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
64,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
65,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0
66,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
67,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0
68,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
69,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
70,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0
71,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1
72,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
73,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
74,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1
75,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0
76,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1
77,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
78,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
79,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
80,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
81,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0
82,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
83,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
84,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
85,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0
86,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1
87,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0
88,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
89,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
90,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
91,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
92,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
93,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1
94,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0
95,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1
96,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
97,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0
98,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0
99,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1
100,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1
101,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1
102,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0
103,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0
104,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1
105,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0
106,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0
107,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
108,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
109,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0
110,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
111,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0
112,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
113,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
114,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0
115,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1
116,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1
117,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1
118,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0
119,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1
120,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0
121,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1
122,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1
123,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1
124,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0
125,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1
126,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0
127,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1
128,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0
129,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1
130,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0
131,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1
132,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0
133,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1
134,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1
135,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1
136,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1
137,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0
138,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1
139,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1
140,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0
141,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0
142,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
143,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0
144,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1
145,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0
146,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1
147,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0
148,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1
149,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0
150,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0
151,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1
152,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1
153,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0
154,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1
155,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1
156,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0
157,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0
158,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0
159,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1
160,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1
161,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0
162,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0
163,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0
164,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0
165,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1
166,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0
167,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
168,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1
